date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:07:20	9775/9775	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Sep%202023%2013:44:12%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/menu-small/grid/pic3.png	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/menu-small/grid/pic3.png	(from https://swigo.dexignzone.com/xhtml/index-2.html)
10:07:20	10838/10838	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Sep%202023%2013:44:12%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/menu-small/grid/pic4.png	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/menu-small/grid/pic4.png	(from https://swigo.dexignzone.com/xhtml/index-2.html)
10:07:20	10027/10027	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Sep%202023%2013:44:13%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/menu-small/grid/pic5.png	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/menu-small/grid/pic5.png	(from https://swigo.dexignzone.com/xhtml/index-2.html)
10:07:21	10251/10251	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Sep%202023%2013:44:13%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/menu-small/grid/pic6.png	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/menu-small/grid/pic6.png	(from https://swigo.dexignzone.com/xhtml/index-2.html)
10:07:21	9836/9836	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Sep%202023%2013:44:15%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/menu-small/grid/pic7.png	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/menu-small/grid/pic7.png	(from https://swigo.dexignzone.com/xhtml/index-2.html)
10:07:21	8111/8111	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Sep%202023%2013:44:15%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/menu-small/grid/pic8.png	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/menu-small/grid/pic8.png	(from https://swigo.dexignzone.com/xhtml/index-2.html)
10:07:22	55982/55982	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Sep%202023%2013:44:20%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/testimonial/large/pic1.jpg	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/testimonial/large/pic1.jpg	(from https://swigo.dexignzone.com/xhtml/index-2.html)
10:07:22	100973/100973	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Sep%202023%2013:42:12%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/background/pic10.png	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/background/pic10.png	(from https://swigo.dexignzone.com/xhtml/index-2.html)
10:07:24	86165/86165	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Sep%202023%2013:44:22%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/testimonial/large/pic3.jpg	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/testimonial/large/pic3.jpg	(from https://swigo.dexignzone.com/xhtml/index-2.html)
10:07:24	63282/63282	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Sep%202023%2013:44:22%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/testimonial/large/pic2.jpg	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/testimonial/large/pic2.jpg	(from https://swigo.dexignzone.com/xhtml/index-2.html)
10:07:24	72967/72967	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Sep%202023%2013:43:06%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/blog/grid2/pic1.jpg	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/blog/grid2/pic1.jpg	(from https://swigo.dexignzone.com/xhtml/index-2.html)
10:07:26	83536/83536	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Sep%202023%2013:43:06%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/blog/grid2/pic2.jpg	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/blog/grid2/pic2.jpg	(from https://swigo.dexignzone.com/xhtml/index-2.html)
10:07:26	120149/120149	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Sep%202023%2013:43:17%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/blog/large/pic1.jpg	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/blog/large/pic1.jpg	(from https://swigo.dexignzone.com/xhtml/index-2.html)
10:07:26	35448/35448	---M--	200	added ('OK')	application/javascript	date:Tue,%2022%20Aug%202023%2010:07:13%20GMT	https://swigo.dexignzone.com/xhtml/assets/vendor/masonry/isotope.pkgd.min.js	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/vendor/masonry/isotope.pkgd.min.js	(from https://swigo.dexignzone.com/xhtml/index-2.html)
10:07:26	24106/24106	---M--	200	added ('OK')	application/javascript	date:Tue,%2022%20Aug%202023%2010:07:13%20GMT	https://swigo.dexignzone.com/xhtml/assets/vendor/masonry/masonry-4.2.2.js	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/vendor/masonry/masonry-4.2.2.js	(from https://swigo.dexignzone.com/xhtml/index-2.html)
10:07:26	6900/6900	---M--	200	added ('OK')	application/javascript	date:Tue,%2022%20Aug%202023%2010:07:10%20GMT	https://swigo.dexignzone.com/xhtml/assets/vendor/imagesloaded/imagesloaded.js	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/vendor/imagesloaded/imagesloaded.js	(from https://swigo.dexignzone.com/xhtml/index-2.html)
10:07:27	22814/22814	---M--	200	added ('OK')	application/javascript	date:Tue,%2022%20Aug%202023%2010:07:18%20GMT	https://swigo.dexignzone.com/xhtml/assets/vendor/particles/particles.js	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/vendor/particles/particles.js	(from https://swigo.dexignzone.com/xhtml/index-2.html)
10:07:27	1227/1227	---M--	200	added ('OK')	application/javascript	date:Tue,%2022%20Aug%202023%2010:07:18%20GMT	https://swigo.dexignzone.com/xhtml/assets/vendor/particles/particles-app.js	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/vendor/particles/particles-app.js	(from https://swigo.dexignzone.com/xhtml/index-2.html)
10:07:28	2521/2521	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Sep%202023%2013:44:09%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/main-slider/slider3/offer.png	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/main-slider/slider3/offer.png	(from https://swigo.dexignzone.com/xhtml/index-3.html)
10:07:28	7712/7712	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Sep%202023%2013:44:09%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/main-slider/slider3/crown.png	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/main-slider/slider3/crown.png	(from https://swigo.dexignzone.com/xhtml/index-3.html)
10:07:28	193118/193118	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Sep%202023%2013:44:06%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/main-slider/slider3/bg.png	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/main-slider/slider3/bg.png	(from https://swigo.dexignzone.com/xhtml/index-3.html)
10:07:28	193326/193326	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Jul%202023%2009:27:30%20GMT	https://swigo.dexignzone.com/xhtml/social-home3.png	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/social-home3.png	(from https://swigo.dexignzone.com/xhtml/index-3.html)
10:07:29	3016/3016	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Sep%202023%2013:42:07%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/adv/pic2.png	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/adv/pic2.png	(from https://swigo.dexignzone.com/xhtml/index-3.html)
10:07:29	50054/50054	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Sep%202023%2013:42:06%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/adv/pic1.png	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/adv/pic1.png	(from https://swigo.dexignzone.com/xhtml/index-3.html)
10:07:30	757/757	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Sep%202023%2013:42:06%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/adv/label.png	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/adv/label.png	(from https://swigo.dexignzone.com/xhtml/index-3.html)
